GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hereos-api,br.com.hereos.model,Hero,291,52,62,0,3,9,37,15,6,15
hereos-api,br.com.hereos.model,User,98,8,14,0,35,2,23,1,16,1
hereos-api,br.com.hereos.model,Profile,17,3,0,0,7,1,5,1,5,1
hereos-api,br.com.hereos.model,Phone.PhoneBuilder,36,0,0,0,1,0,6,0,6,0
hereos-api,br.com.hereos.model,Phone,16,24,0,0,2,5,2,7,2,7
hereos-api,br.com.hereos.model,Hero.HeroBuilder,72,0,0,0,1,0,10,0,10,0
hereos-api,br.com.hereos.controller,AuthenticationController,24,13,0,0,6,2,1,2,1,2
hereos-api,br.com.hereos.controller,HeroController,13,68,0,0,3,16,1,6,1,6
hereos-api,br.com.hereos.enums,PhoneType,3,45,0,0,1,3,1,2,1,2
hereos-api,br.com.hereos.security,SecurityConfigurations,0,79,0,0,0,14,0,5,0,5
hereos-api,br.com.hereos.security,AuthenticationService,17,3,2,0,4,1,2,1,1,1
hereos-api,br.com.hereos.security,TokenService,61,3,0,0,16,1,3,1,3,1
hereos-api,br.com.hereos.security,AuthenticateTokenFilter,64,9,8,0,16,4,7,1,3,1
hereos-api,br.com.hereos.swagger,SwaggerConfig,26,16,0,0,6,6,1,2,1,2
hereos-api,br.com.hereos.dto,TokenDto,23,0,0,0,4,0,5,0,5,0
hereos-api,br.com.hereos.dto.response,PhoneResponseDTO.PhoneResponseDTOBuilder,36,0,0,0,1,0,6,0,6,0
hereos-api,br.com.hereos.dto.response,HeroResponseDTO.HeroResponseDTOBuilder,72,0,0,0,1,0,10,0,10,0
hereos-api,br.com.hereos.dto.response,HeroResponseDTO,20,76,0,0,2,10,2,16,2,16
hereos-api,br.com.hereos.dto.response,MessageResponseDTO.MessageResponseDTOBuilder,18,0,0,0,1,0,4,0,4,0
hereos-api,br.com.hereos.dto.response,MessageResponseDTO,82,0,14,0,3,0,15,0,8,0
hereos-api,br.com.hereos.dto.response,PhoneResponseDTO,4,36,0,0,1,6,1,8,1,8
hereos-api,br.com.hereos.dto.request,PhoneResquestDTO,4,36,0,0,1,6,1,8,1,8
hereos-api,br.com.hereos.dto.request,HeroRequestDTO,20,76,0,0,2,10,2,16,2,16
hereos-api,br.com.hereos.dto.request,PhoneResquestDTO.PhoneResquestDTOBuilder,36,0,0,0,1,0,6,0,6,0
hereos-api,br.com.hereos.dto.request,HeroRequestDTO.HeroRequestDTOBuilder,72,0,0,0,1,0,10,0,10,0
hereos-api,br.com.hereos,HereosApiApplication,5,3,0,0,2,1,1,1,1,1
hereos-api,br.com.hereos.dto.requestd,LoginRequestDTO,31,0,0,0,6,0,7,0,7,0
hereos-api,br.com.hereos.dto.mapper,HeroMapper,0,5,0,0,0,1,0,1,0,1
hereos-api,br.com.hereos.dto.mapper,HeroMapperImpl,12,185,8,12,6,47,8,9,0,7
hereos-api,br.com.hereos.exception,HeroNotFoundException,0,11,0,0,0,2,0,1,0,1
hereos-api,br.com.hereos.service.impl,HeroServiceImpl,13,78,0,0,4,13,2,7,2,7
